Company,CEO,Salary (million)
BLOCKBUSTER INC,James W. Keyes,0.75
RED HAT INC,James M. Whitehurst,0.75
NETSCOUT SYSTEMS INC,Anil K. Singhal,0.33
QUEST SOFTWARE INC,Vincent C. Smith,1
LABRANCHE & CO INC,"George L. LaBranche, IV",0.75
SWK HOLDINGS CORP,John F. Nemelka,0.2
INTERACTIVE INTELLIGENCE GRP,"Donald E. Brown, M.D.",0.36
UNITED ONLINE INC,Mark R. Goldston,0.95
OMNOVA SOLUTIONS INC,Kevin M. McMullen,0.67
INTERNAP NETWORK SVCS CORP,J. Eric Cooney,0.6
BLACKROCK INC,Laurence Douglas Fink,0.5
CIRCOR INTL INC,Bill Higgins,0.54
PCTEL INC,"Martin H. Singer, Ph.D.",0.43
AKAMAI TECHNOLOGIES INC,Paul L. Sagan,0.6
EXPEDIA INC,Dara Khosrowshahi,1
RUDOLPH TECHNOLOGIES INC,Paul F. McLaughlin,0.58
AGILENT TECHNOLOGIES INC,William P. Sullivan,0.99
BLUE COAT SYSTEMS INC,Michael J. Borman,0.39
TELEDYNE TECHNOLOGIES INC,Robert Mehrabian,0.85
XO GROUP INC,David Liu,0.37
CATALYST HEALTH SOLUTIONS,David T. Blair,0.76
PACKAGING CORP OF AMERICA,Mark W. Kowlzan,0.64
MATTERSIGHT CORP,Kelly D. Conway,0.43
GENTIVA HEALTH SERVICES INC,Tony Strange,0.72
INTERSIL CORP  -CL A,David B. Bell,0.59
UTSTARCOM HOLDINGS CORP,Ying Lu,0.36
SILICON LABORATORIES INC,Necip Sayiner,0.57
EDWARDS LIFESCIENCES CORP,Michael A. Mussallem,0.83
ENERGIZER HOLDINGS INC,Ward M. Klein,0.89
WEBSENSE INC,Gene Hodges,0.56
VALUECLICK INC,Thomas A. Vadnais,0.18
CABOT MICROELECTRONICS CORP,William P. Noglows,0.56
KRISPY KREME DOUGHNUTS INC,James H. Morgan,0.67
METLIFE INC,"Steven A. Kandarian, J.D.",0.63
LIVEPERSON INC,Robert P. LoCascio,0.33
FRONTIER COMMUNICATIONS CORP,Mary Agnes Wilderotter,0.97
CEVA INC,Gideon Wertheizer,0.3
NRG ENERGY INC,David Crane,1.21
PACWEST BANCORP,Matthew P. Wagner,0.75
VISTEON CORP,Donald J. Stebbins,1.22
INTUITIVE SURGICAL INC,"Gary S. Guthart, Ph.D.",0.5
BASIC ENERGY SERVICES INC,Kenneth V. Huseman,0.54
CHARLES RIVER LABS INTL INC,"James C. Foster, J.D.",0.97
JANUS CAPITAL GROUP INC,"Richard Mac Coy Weil, J.D.",0.46
AXCELIS TECHNOLOGIES INC,Mary G. Puma,0.4
CALIFORNIA PIZZA KITCHEN INC,Richard L. Rosenfield,0.68
MEDICINES CO,"Clive A. Meanwell, M.D., Ph.D.",0.7
AMERICAN MEDICAL SYSTMS HLDS,"Anthony P. Bihl, III",0.53
EQUINIX INC,Stephen M. Smith,0.54
PINNACLE FINL PARTNERS INC,M. Terry Turner,0.69
MOODY'S CORP,"Raymond W. McDaniel, Jr.",0.94
TTM TECHNOLOGIES INC,Kenton K. Alder,0.6
OPLINK COMMUNICATIONS INC,Joseph Y. Liu,0.38
GENON ENERGY INC,Edward R. Muller,0.09
GREATBATCH INC,Thomas J. Hook,0.53
COACH INC,Lew Frankfort,1.45
MONSANTO CO,Hugh Grant,1.41
PEET'S COFFEE & TEA INC,Patrick J. O'Dea,0.6
NII HOLDINGS INC,Steven P. Dussek,0.75
BANK MUTUAL CORP,"Michael T. Crowley, Jr.",0.7
UTI WORLDWIDE INC,Eric W. Kirchner,0.7
NOVATEL WIRELESS INC,Peter V. Leparulo,0.46
ALIGN TECHNOLOGY INC,Thomas Prescott,0.54
MASSEY ENERGY CO,"Baxter F. Phillips, Jr.",0.63
GLOBAL PAYMENTS INC,Paul R. Garcia,1
OIL STATES INTL INC,Cindy B. Taylor,0.53
NORTHERN OIL & GAS INC,Michael L. Reger,0.33
PEABODY ENERGY CORP,Gregory H. Boyce,1.11
ARBITRON INC,William T. Kerr,0.77
FMC TECHNOLOGIES INC,John T. Gremp,0.56
SYNAPTICS INC,Russell J. Knittel,0.43
KRAFT FOODS INC,Irene Rosenfeld,1.5
OMNICELL INC,Randall Lipps,0.46
PRUDENTIAL FINANCIAL INC,"John Robert Strangfeld, Jr.",1
ACCENTURE PLC,William D. Green,1.25
MEDCATH CORP,James Arthur Parker,0.35
INLAND REAL ESTATE CORP,Mark E. Zalatoris,0.54
ALLIANCE DATA SYSTEMS CORP,Edward J. Heffernan,0.81
ROCKWELL COLLINS INC,Clayton Jones,1.02
CROSS COUNTRY HEALTHCARE INC,Joseph A. Boshart,0.51
NATUS MEDICAL INC,James B. Hawkins,0.43
ARAMARK CORP,Joseph Neubauer,1.3
AMN HEALTHCARE SERVICES INC,Susan R. Salka,0.62
ZIMMER HOLDINGS INC,David Dvorak,0.83
BIG 5 SPORTING GOODS CORP,Steven G. Miller,0.48
WELLPOINT INC,Angela F. Braly,1.14
GAMESTOP CORP,J. Paul Raines,0.98
AMERIGROUP CORP,James G. Carlson,0.79
CENTENE CORP,Michael F. Neidorff,1.1
PRINCIPAL FINANCIAL GRP INC,Larry Donald Zimpleman,0.78
ADVANCE AUTO PARTS INC,Darren R. Jackson,0.7
ACUITY BRANDS INC,Vernon J. Nagel,0.6
MANTECH INTL CORP,George J. Pedersen,1.69
CYCLE CTRY ACCESSORIES CORP,Robert Davis,0.06
LORILLARD INC,Murray S. Kessler,0.37
JETBLUE AIRWAYS CORP,David Barger,0.6
NETFLIX INC,Reed Hastings,0.52
SRA INTERNATIONAL INC,Stanton Sloane,0.68
AEROPOSTALE INC,Thomas P. Johnson,0.9
CALAVO GROWERS INC,Lecil E. Cole,0.5
COMPUTER PROGRAMS & SYSTEMS,David A. Dye,0.08
AECOM TECHNOLOGY CORP,John M. Dionisio,1
FAIRPOINT COMMUNICATIONS INC,Paul H. Sunu,0.27
KIRKLAND'S INC,Robert E. Alderson,0.48
PLATINUM UNDERWRITERS HLDG,Michael D. Price,0.98
SAFETY INSURANCE GROUP INC,David F. Brussard,0.78
RED ROBIN GOURMET BURGERS,Stephen E. Carley,0.2
MONTPELIER RE HOLDINGS,Christopher L. Harris,0.68
ENPRO INDUSTRIES INC,Stephen E. MacAdam,0.83
CME GROUP INC,Craig Steven Donohue,1
PLAINS EXPLORATION & PROD CO,James C. Flores,1.4
WYNN RESORTS LTD,Stephen A. Wynn,2.95
NASDAQ OMX GROUP INC,Robert Greifeld,1
CIT GROUP INC,"Peter J. Tobin, CPA",0.08
DICKS SPORTING GOODS INC,Edward W. Stack,0.78
HORNBECK OFFSHORE SVCS INC,Todd M. Hornbeck,0.58
CARTER'S INC,Michael D. Casey,0.74
PROVIDENT FINANCIAL SVCS INC,Christopher Martin,0.5
TEXAS CAPITAL BANCSHARES INC,"George F. Jones, Jr.",0.59
CIMAREX ENERGY CO,F. H. Merelli,0.87
IPAYMENT INC,Carl A. Grimstad,0.71
MOLINA HEALTHCARE INC,"Joseph Mario Molina, M.D.",0.85
ENDURANCE SPECIALTY HOLDINGS,David Somers Cash,0.72
TRUE RELIGION APPAREL INC,Jeff Lubell,0.94
AXIS CAPITAL HOLDINGS LTD,John R. Charman,1.25
DTS INC,Jon E. Kirchner,0.45
NETGEAR INC,Patrick C. S. Lo,0.6
NATIONAL FINANCIAL PRTNRS CP,Jessica M. Bibliowicz,0.7
QEP RESOURCES INC,Charles B. Stanley,0.72
LKQ CORP,Robert L. Wagman,0.35
TESSERA TECHNOLOGIES INC,Henry R. Nothhaft,0.53
SYNNEX CORP,Kevin Murai,0.5
UNIVERSAL TECHNICAL INST,Kimberly J. McWaters,0.63
ASSURANT INC,Robert B. Pollock,0.95
COMPASS MINERALS INTL INC,Angelo C. Brisimitzakis,0.74
BUFFALO WILD WINGS INC,Sally Smith,0.56
ASPEN INSURANCE HOLDINGS LTD,Chris O. O'Kane,0.74
SALESFORCE.COM INC,Marc Benioff,0.9
GENWORTH FINANCIAL INC,Michael D. Fraizer,1.12
B&G FOODS INC,David L. Wenner,0.49
LIFE TIME FITNESS INC,Bahram Akradi,0.75
MASTERCARD INC,Ajay Banga,0.85
HOSPIRA INC,Christopher B. Begley,1.09
METROPCS COMMUNICATIONS INC,Roger D. Linquist,0.8
GOOGLE INC,Larry Page,0
TEXAS ROADHOUSE INC,Wayne Kent Taylor,0.3
RIGHTNOW TECHNOLOGIES INC,Greg R. Gianforte,0.35
TOWER GROUP INC,Michael H. Lee,0.9
EXTRA SPACE STORAGE INC,Spencer F. Kirk,0.43
VOLTERRA SEMICONDUCTOR CORP,Jefrey Staszak,0.39
SYMMETRY MEDICAL INC,Brian S. Moore,0.5
DIAMONDROCK HOSPITALITY CO,"Mark W. Brugger, J.D.",0.6
VIAD CORP,Paul Dykstra,0.63
MONOLITHIC POWER SYSTEMS INC,Michael R. Hsing,0.4
DREAMWORKS ANIMATION INC,Jeffery Katzenberg,0
BIOMED REALTY TRUST INC,Alan D. Gold,0.69
HEARTLAND PAYMENT SYSTEMS,Robert O. Carr,0.72
AMERICAN CAMPUS COMMUNITIES,"William C. Bayless, Jr.",0.46
MEDICAL PROPERTIES TRUST,"Edward K. Aldag, Jr.",0.55
OPTIONSXPRESS HOLDINGS INC,David A. Fisher,0.5
NEENAH PAPER INC,John P. O'Donnell,0.38
PRESTIGE BRANDS HOLDINGS,Matthew M. Mannelly,0.53
WRIGHT EXPRESS CORP,Michael E. Dubyak,0.53
LHC GROUP INC,Keith G. Myers,0.56
BILL BARRETT CORP,Fredrick J. Barrett,0.44
VERIFONE SYSTEMS INC,Douglas G. Bergeron,0.8
ZUMIEZ INC,"Richard M. Brooks, Jr.",0.26
KOPPERS HOLDINGS INC,Walter W. Turner,0.69
INTERCONTINENTALEXCHANGE INC,Jeffrey C. Sprecher,0.91
DIAMOND FOODS INC,Michael J. Mendes,0.65
NEUSTAR INC,Lisa A. Hook,0.47
LINCOLN EDUCATIONAL SERVICES,David F. Carney,0.43
CAPELLA EDUCATION CO,"J. Kevin Gilligan, BA",0.63
MAIDENFORM BRANDS INC,Maurice S. Reznik,0.62
FRANKLIN STREET PROPERTIES,George J. Carter,0.23
RUTHS HOSPITALITY GROUP INC,Michael P. O?Donnell,0.5
MWI VETERINARY SUPPLY,"James F. Cleary, Jr.",0.33
HITTITE MICROWAVE CORP,Stephen G. Daly,0.33
CF INDUSTRIES HOLDINGS INC,Stephen R. Wilson,0.93
DRESSER-RAND GROUP INC,"Vincent R. Volpe, Jr.",0.83
VOLCOM INC,Richard R. Woolcott,0.45
TREEHOUSE FOODS INC,Sam K. Reed,0.88
CBEYOND INC,James Geiger,0.4
DISCOVERY COMMUNICATIONS INC,David Zaslav,2
IROBOT CORP,Colin M. Angle,0.46
DEALERTRACK HOLDINGS INC,Mark O'Neil,0.52
BURGER KING HOLDINGS INC,Bernardo Hees,0.09
AMERISAFE INC,"C. Allen Bradley, Jr.",0.47
HOME BANCSHARES INC,C. Randall Sims,0.28
KAPSTONE PAPER & PACKAGING,Roger Warren Stone,0.42
AMERIPRISE FINANCIAL INC,Jim Cracchiolo,0.95
CROCS INC,John H. Duerden,0.15
UNDER ARMOUR INC,Kevin A. Plank,0.03
SAIC INC,Walter P. Havenstein,1
TALEO CORP,Michael Gregoire,0.5
FIDELITY NATIONAL FINANCIAL,George Scanlon,0.31
VIACOM INC,Philippe P. Dauman,2.63
LIVE NATION ENTERTAINMENT,Michael Rapino,1.97
NTELOS HOLDINGS CORP,James A. Hyde,0.58
HEALTHSPRING INC,Herbert A. Fritch,0.85
CHIPOTLE MEXICAN GRILL INC,Montgomery F. Moran,0.97
FIDELITY NATIONAL INFO SVCS,Frank Martire,1
LIQUIDITY SERVICES INC,"William P. Angrick, III",0.4
KRATON PERFORMANCE POLYMERS,Kevin M. Fogarty,0.58
NYSE EURONEXT,Duncan L. Niederauer,1
SYNCHRONOSS TECHNOLOGIES,Stephen G. Waldis,0.5
COMMVAULT SYSTEMS INC,N. Robert Hammer,0.48
KBR INC,William P. Utt,0.99
EHEALTH INC,Gary Lauer,0.59
WINDSTREAM CORP,Jeff Gardner,0.99
WYNDHAM WORLDWIDE CORP,Stephen P. Holmes,1.12
ALLEGIANT TRAVEL CO,"Maurice J. Gallagher, Jr.",0
WESTERN UNION CO,Hikmet Ersek,0.84
HANESBRANDS INC,Richard A. Noll,1
FIRST SOLAR INC,Robert J. Gillette,0.85
EMERGENT BIOSOLUTIONS INC,Fuad El-Hibri,0.64
SPECTRA ENERGY CORP,Gregory L. Ebel,0.98
ORITANI FINANCIAL CORP,Kevin J. Lynch,0.56
AEROVIRONMENT INC,Timothy E. Conver,0.48
TIME WARNER CABLE INC,Glenn A. Britt,1.25
SOURCEFIRE INC,John Burris,0.4
SUPER MICRO COMPUTER INC,Charles Liang,0.29
EMPLOYERS HOLDINGS INC,Douglas D. Dirks,0.78
INTERACTIVE BROKERS GROUP,Thomas Peterffy,1.35
DOMTAR CORP,"John D. Williams, BA",1
MONOTYPE IMAGING HOLDINGS,Douglas J. Shaw,0.34
GEORESOURCES INC,Frank A. Lodzinski,0.19
COVIDIEN PLC,Jos? E. Almeida,0.73
TE CONNECTIVITY LTD,Tom Lynch,0.95
SOLERA HOLDINGS INC,Tony Aquila,0.73
COMSCORE INC,"Magid M. Abraham, Ph.D.",0.39
VIRTUSA CORP,Krishan A. Canekeratne,0.33
MASIMO CORP,Joe E. Kiani,0.71
GT ADVANCED TECHNOLOGIES INC,Thomas Gutierrez,0.6
PHARMERICA CORP,Gregory S. Weishar,0.74
DOLAN CO,James P. Dolan,0.53
VITAMIN SHOPPE INC,Anthony Truesdale,0.5
MSCI INC,Henry A. Fernandez,0.6
ZEP INC,John K. Morgan,0.54
PATRIOT COAL CORP,Richard W. Whiting,0.77
NEUTRAL TANDEM INC,Rian Wren,0.45
AMERICAN PUBLIC EDUCATION,"Wallace E. Boston, Ed.D",0.5
APPROACH RESOURCES INC,"J. Ross Craft, P.E",0.31
ENSIGN GROUP INC,Christopher R. Christensen,0.41
LUMBER LIQUIDATORS HLDGS INC,Thomas D. Sullivan,0.32
RUBICON TECHNOLOGY INC,Raja M. Parvez,0.45
ENTROPIC COMMUNICATIONS INC,Patrick C. Henry,0.38
FORESTAR GROUP INC,James M. DeCosmo,0.5
ORION MARINE GROUP INC,J. Michael Pearson,0.5
A. H. BELO CORP,Robert W. Decherd,0.48
IPC THE HOSPITALIST CO INC,"Adam D. Singer, M.D.",0.54
VISA INC,Joseph W. Saunders,0.95
PHILIP MORRIS INTERNATIONAL,"Louis C. Camilleri, BA",1.71
HILLENBRAND INC,Kenneth A. Camp,0.69
LOGMEIN INC,Michael K. Simon,0.33
DR PEPPER SNAPPLE GROUP INC,Larry D. Young,0.98
QUANEX BUILDING PRODUCTS,David D. Petratis,0.7
INTREPID POTASH INC,"Robert P. Jornayvaz, III",0.25
RACKSPACE HOSTING INC,A. Lanham Napier,0.37
SCRIPPS NETWORKS INTERACTIVE,Kenneth W. Lowe,1.15
LENDER PROCESSING SERVICES,Lee A. Kennedy,0.25
INTERVAL LEISURE GROUP,Craig M. Nash,0.75
HSN INC,Mindy F. Grossman,1.16
JOHN BEAN TECHNOLOGIES,"Charles H. Cannon, Jr.",0.69
STR HOLDINGS INC,Dennis L. Jilot,0.5
MEAD JOHNSON NUTRITION CO,Stephen W. Golsby,0.97
ALLSCRIPTS HEALTHCARE SOLTNS,Glen E. Tullman,0.44
CLEARWATER PAPER CORP,Gordon L. Jones,0.69
RUE21 INC,Robert Fisch,0.91
AOL INC,Tim Armstrong,1
FINANCIAL ENGINES INC,Jeffrey N. Maggioncalda,0.29
FIRST AMERICAN FINANCIAL CP,Dennis J. Gilmore,0.71
MOTOROLA MOBILITY HLDGS INC,"Sanjay K. Jha, Ph.D.",0.9
HUNTINGTON INGALLS IND INC,C. Michael Petters,0.72
MARATHON PETROLEUM CORP,Gary R. Heminger,0.92
CB RICHARD ELLIS GROUP INC,W. Brett White,0.81
WELLCARE HEALTH PLANS INC,Alexander R. Cunningham,0.64
BLACKBAUD INC,Marc E. Chardon,0.58
NUVASIVE INC,Alexis V. Lukianov,0.8
BLUE NILE INC,Diane M. Irvine,0.47
GREENHILL & CO INC,Simon A. Borrows,0.39
CARDTRONICS INC,Fred R. Lummis,0
CABELAS INC,Thomas L. Millner,0.8
KITE REALTY GROUP TRUST,John A. Kite,0.46
